Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
TEPA SENIOR HIGH SCHOOL,,TEPA,"7?00'53.7""N","2?09'18.7""W",SHS,Public,ASHANTI,AHAFO ANO NORTH,,,,+233 32 249 1190,tepashs@ges.gov.gh,,YES,,,,,,,,,
MAABANG SENIOR HIGH/TECH SCHOOL,,MAABANG,"6?59'55.9""N","2?12'51.2""W",SHS,Public,ASHANTI,AHAFO ANO NORTH,,,,+233 27 785 8643,maabangshst@ges.gov.gh,,YES,,,,,,,,,
"SABRONUM METHODIST SENIOR HIGH/TECH
SCHOOL",,"SABRONUM/HABI
TAT","7?04'41.6""N","˜1?53'16.8""W",SHS,Public,ASHANTI,AHAFO ANO SOUTH,,,,+233 26 160 1736,sabronummethodistshst@ges.gov.gh,,NO,,,,,,,,,
ADUGYAMA COMM. SENIOR HIGH SCHOOL,,ADUGYAMA,"6?52'27.6""N","1?52'33.1""W",SHS,Public,ASHANTI,AHAFO ANO SOUTH,,,,+233 24 794 7010,adugyamacommshs@ges.gov.gh,,NO,,,,,,,,,
MANKRANSO SENIOR HIGH SCHOOL,,MANKRANSO,"6?49'33.1""N","1?52'07.0""W",SHS,Public,ASHANTI,AHAFO ANO SOUTH,,,,+233 26 675 8100,mankransoshs@ges.gov.gh,,YES,,,,,,,,,
TWEAPEASE SENIOR HIGH SCHOOL,,TWEAPEASE,"6?08'36.0""N","˜1?43'54.4""W",SHS,Public,ASHANTI,AMANSIE CENTRAL,,,,O54 107 5823,tweapeaseshs@ges.gov.gh,,NO,,,,,,,,,
JACOBU SENIOR HIGH/TECH. SCHOOL,,JACOBU,"6?21'16.5""N","1?39'51.8""W",SHS,Public,ASHANTI,AMANSIE CENTRAL,,,,+233 24 353 3956,jacobushst@ges.gov.gh,,YES,,,,,,,,,
ESAASE BONTEFUFUO SNR. HIGH/TECH. SCHOOL,,"ESAASE
BONTEFUFUO","6?33'46.7""N","1?53'04.3""W",SHS,Public,ASHANTI,AMANSIE WEST,,,,+233 20 729 7425,esaasebontefufuoshst@ges.gov.gh,,YES,,,,,,,,,
MANSOMAN SENIOR HIGH SCHOOL,,MANSO ATWERE,"6?27'15.6""N","1?51'28.3""W",SHS,Public,ASHANTI,AMANSIE WEST,,,,+233 24 336 0255,mansomanshs@ges.gov.gh,,YES,,,,,,,,,
MANSO-ADUBIA SENIOR HIGH SCHOOL,,ADUBIA,"6?24'13.4""N","1?55'33.7""W",SHS,Public,ASHANTI,AMANSIE WEST,,,,+233 20 136 1900,manso-adubiashs@ges.gov.gh,,YES,,,,,,,,,
"WESLEY SENIOR HIGH SCHOOL, KONONGO",,KONONGO,"6?38'06.3""N","1?12'20.0""W",SHS,Public,ASHANTI,"ASANTE AKIM CENTRAL
MUNICIPAL",,,,+233 24 438 9073,wesleykonongoshs@ges.gov.gh,,YES,,,,,,,,,
"ST. MARY'S GIRL'S SENIOR HIGH, KONONGO",,KONONGO,"6?37'16.0""N","1?12'57.5""W",SHS,Public,ASHANTI,"ASANTE AKIM CENTRAL
MUNICIPAL",,,,+233 24 487 5214,st.marygirlkonongoshs@ges.gov.gh,,YES,,,,,,,,,
KONONGO ODUMASE SENIOR HIGH SCHOOL,,ODUMASE,"6?37'15.0""N","1?13'38.8""W",SHS,Public,ASHANTI,"ASANTE AKIM CENTRAL
MUNICIPAL",,,,+233 20 247 5741,konongoodumaseshs@ges.gov.gh,,YES,,,,,,,,,
AGOGO STATE COLLEGE,,AGOGO,"6?47'56.6""N","1?04'24.9""W",SHS,Public,ASHANTI,ASANTE AKIM NORTH,,,,+233 20 463 0371,agogostatecollegeshs@ges.gov.gh,,YES,,,,,,,,,
"COLLINS SENIOR HIGH/COMMERCIAL SCHOOL,
AGOGO",,AGOGO,"6?48'10.7""N","1?05'04.6""W",SHS,Public,ASHANTI,ASANTE AKIM NORTH,,,,+233 20 819 9706,collincomshs@ges.gov.gh,,YES,,,,,,,,,
OWERRIMAN SENIOR HIGH SCHOOL,,DOMEABRA,"6?43'07.9""N","1?08'45.1""W",SHS,Public,ASHANTI,ASANTE AKIM NORTH,,,,+233 24 486 8803,owerrimanshs@ges.gov.gh,,YES,,,,,,,,,
KUROFA METHODIST SENIOR HIGH SCHOOL,,KUROFA,"6?40'55.9""N","1?06'28.1""W",SHS,Public,ASHANTI,ASANTE AKIM SOUTH,,,,+233 26 160 1736,kurofamethodistshs@ges.gov.gh,,NO,,,,,,,,,
BOMPATA PRESBY SENIOR HIGH SCHOOL,,BOMPATA,"6?37'39.1""N","1?03'40.8""W",SHS,Public,ASHANTI,ASANTE AKIM SOUTH,,,,+233 24 333 8338,presbybompatashs@ges.gov.gh,,YES,,,,,,,,,
JUASO SENIOR HIGH/TECH SCHOOL,,JUASO,"6?35'35.2""N","1?07'22.8""W",SHS,Public,ASHANTI,ASANTE AKIM SOUTH,,,,+233 24 353 3956,juasoshs@ges.gov.gh,,YES,,,,,,,,,
JUBILEE SENIOR HIGH SCHOOL,,DAMPONG,"5?32'45.3""N","0?18'55.4""W",SHS,Public,ASHANTI,ASANTE AKIM SOUTH,,,,055 511 6312,jubileeshs@ges.gov.gh,,YES,,,,,,,,,
OFOASE SENIOR HIGH/TECH SCHOOL,,OFOASE,"6?23'55.6""N","1?16'54.4""W",SHS,Public,ASHANTI,ASANTE AKIM SOUTH,,,,+233 54 169 6471,ofoaseshs@ges.gov.gh,,YES,,,,,,,,,
BANKA COMM. SENIOR HIGH SCHOOL,,BANKA,"6?17'40.1""N","1?12'26.6""W",SHS,Public,ASHANTI,ASANTE AKIM SOUTH,,,,+233 24 335 0810,bankacommsshs@ges.gov.gh,,NO,,,,,,,,,
PARKOSO COMM. SENIOR HIGH SCHOOL,,PARKOSO,"6?43'33.1""N","1?32'26.4""W",SHS,Public,ASHANTI,"ASOKORE MAMPONG
MUNICIPAL",,,,+233 24 660 7080,parkosocommshs@ges.gov.gh,,NO,,,,,,,,,
KUMASI ACADEMY,,"ASOKORE
MAMPONG","6?42'39.8""N","1?34'20.4""W",SHS,Public,ASHANTI,"ASOKORE MAMPONG
MUNICIPAL",,,,+233 24 427 5866,kumasiacademyshs@ges.gov.gh,,YES,,,,,,,,,
SAKAFIA ISLAMIC SENIOR HIGH SCHOOL,,SAWABA,"6?41'59.7""N","1?34'22.9""W",SHS,Public,ASHANTI,"ASOKORE MAMPONG
MUNICIPAL",,,,+233 26 844 4619,sakafiaislamicshs@ges.gov.gh,,YES,,,,,,,,,
AFUA KOBI AMPEM GIRLS' SENIOR HIGH SCHOOL,,TRABUOM,"6?37'06.5""N","1?46'01.3""W",SHS,Public,ASHANTI,ATWIMA KWANWOMA,,,,+233 24 429 7335,afuakobiampemgirlsshs@ges.gov.gh,,YES,,,,,,,,,
